scenario,estimate_index,now_us,fsm_state,tg_us,W_sec,S_sec,tau_hat_sec,m1_hat,m2_hat,m3_hat,Y_hat,sigma_Y,has_significance,is_low_rate,is_degraded,is_stats_bound,insufficient_statistics,model_mismatch,debug_event_count,debug_bins_with_counts
stable_low_rate,48,11686450,Warmup,500,2,0.2,0.0002286032066600048,0.014,0,0,-0.014000000000000002,0.001859291802423106,False,False,False,False,True,False,57,57
stable_low_rate,49,11886450,Warmup,500,2,0.2,0.0002286032066600048,0.01425,0,0,-0.01425,0.0018755100960310086,False,False,False,False,True,False,58,58
slowly_drifting_rate,0,2000150,Warmup,500,2,0.2,0.00027955874770974184,0.4195,0.17,0.051000000000000004,-0.01425566150178776,0.019553182573598716,False,False,False,False,True,False,1679,1640
slowly_drifting_rate,1,2200150,Warmup,500,2,0.2,0.000125,0.42025,0.17400000000000002,0.054,-0.006210737656157007,0.019756246429658078,False,False,False,False,True,False,1682,1642
slowly_drifting_rate,2,2400150,Warmup,500,2,0.2,0.000125,0.4285,0.1785,0.054,-0.011930571761960357,0.019462230411377717,False,False,False,False,True,False,1715,1676
slowly_drifting_rate,3,2600150,Warmup,500,2,0.2,0.002091128734592475,0.439,0.1905,0.07050000000000001,-0.005059225512528476,0.020670352007379638,False,False,False,False,True,False,1757,1716
slowly_drifting_rate,4,2800150,Warmup,500,2,0.2,0.0009350131017737087,0.44375000000000003,0.1975,0.081,0.0013204225352111926,0.02134151497243346,False,False,False,False,True,False,1776,1737
slowly_drifting_rate,5,3000150,Warmup,500,2,0.2,0.002091128734592475,0.446,0.1985,0.09,-0.000932735426008968,0.022178172612583383,False,False,False,False,True,False,1785,1744
slowly_drifting_rate,6,3200150,Warmup,500,2,0.2,0.00034187225351249784,0.4515,0.20350000000000001,0.10200000000000001,-0.0007801771871539277,0.022810183582807928,False,False,False,False,True,False,1807,1769
slowly_drifting_rate,7,3400150,Warmup,500,2,0.2,0.0002286032066600048,0.4485,0.198,0.1065,-0.007028428093645475,0.023418977574607903,False,False,False,False,True,False,1795,1762
slowly_drifting_rate,8,3600150,Warmup,500,2,0.2,0.0005112642094104177,0.44825,0.197,0.10200000000000001,-0.008763106525376393,0.02317363350862719,False,False,False,False,True,False,1794,1760
slowly_drifting_rate,9,3800150,Warmup,500,2,0.2,0.00034187225351249784,0.452,0.1955,0.096,-0.019477876106194704,0.022681876640836807,False,False,False,False,True,False,1809,1775
slowly_drifting_rate,10,4000150,Warmup,500,2,0.2,0.0006252247473683123,0.455,0.2085,0.1125,0.00324175824175819,0.024138438463547032,False,False,False,False,True,False,1821,1787
slowly_drifting_rate,11,4200150,Warmup,500,2,0.2,0.0007645870325492904,0.45325,0.2145,0.126,0.019998758963044726,0.025580422074653174,False,False,False,False,True,False,1814,1779
slowly_drifting_rate,12,4400150,Warmup,500,2,0.2,0.000125,0.455,0.2155,0.1275,0.018626373626373587,0.025564604342975597,False,False,False,False,True,False,1821,1785
slowly_drifting_rate,13,4600150,Warmup,500,2,0.2,0.0007645870325492904,0.45675,0.213,0.117,0.009588259441707717,0.024838166374785267,False,False,False,False,True,False,1828,1795
slowly_drifting_rate,14,4800150,Warmup,500,2,0.2,0.00571919114303894,0.4635,0.2125,0.111,-0.00503182308522122,0.024247636305219235,False,False,False,False,True,False,1855,1822
slowly_drifting_rate,15,5000150,Warmup,500,2,0.2,0.0011434270570526996,0.4645,0.2145,0.111,-0.0027131324004306097,0.02418418404243101,False,False,False,False,True,False,1859,1826
slowly_drifting_rate,16,5200150,Warmup,500,2,0.2,0.0007645870325492904,0.46275,0.213,0.114,-0.002458265802269032,0.024571091744084443,False,False,False,False,True,False,1852,1817
slowly_drifting_rate,17,5400150,Warmup,500,2,0.2,0.0011434270570526996,0.4655,0.213,0.108,-0.007927497314715431,0.024004784529288774,False,False,False,False,True,False,1863,1826
slowly_drifting_rate,18,5600150,Warmup,500,2,0.2,0.0011434270570526996,0.4665,0.214,0.1215,-0.007764737406216551,0.02532959573397217,False,False,False,False,True,False,1867,1831
slowly_drifting_rate,19,5800150,Warmup,500,2,0.2,0.0007645870325492904,0.47200000000000003,0.223,0.1365,0.0004576271186439962,0.025821457461314264,False,False,False,False,True,False,1889,1852
slowly_drifting_rate,20,6000150,Warmup,500,2,0.2,0.0007645870325492904,0.48275,0.2245,0.1245,-0.01770598135680993,0.02413584269445145,False,False,False,False,True,False,1932,1891
slowly_drifting_rate,21,6200150,Warmup,500,2,0.2,0.000125,0.4865,0.222,0.114,-0.03017934224049328,0.02283617136328458,False,False,False,False,True,False,1947,1909
slowly_drifting_rate,22,6400150,Warmup,500,2,0.2,0.000125,0.4855,0.226,0.12,-0.02000051493305865,0.02312282037155215,False,False,False,False,True,False,1943,1904
slowly_drifting_rate,23,6600150,Warmup,500,2,0.2,0.000125,0.48775,0.228,0.1215,-0.020297411583803177,0.023089691061491686,False,False,False,False,True,False,1952,1909
slowly_drifting_rate,24,6800150,Warmup,500,2,0.2,0.003127247877774159,0.48875,0.23750000000000002,0.1305,-0.002816496163682888,0.023365826344653094,False,False,False,False,True,False,1956,1907
slowly_drifting_rate,25,7000150,Warmup,500,2,0.2,0.000125,0.49775,0.255,0.1545,0.01455537418382715,0.02461317577790679,False,False,False,False,True,False,1992,1936
slowly_drifting_rate,26,7200150,Warmup,500,2,0.2,0.000125,0.51025,0.267,0.147,0.01302290543851065,0.023455230623336615,False,False,False,False,True,False,2042,1986
slowly_drifting_rate,27,7400150,Warmup,500,2,0.2,0.001709975946676698,0.5175,0.268,0.1455,0.00037439613526579334,0.023133266667381667,False,False,False,False,True,False,2071,2014
slowly_drifting_rate,28,7600150,Warmup,500,2,0.2,0.001709975946676698,0.52775,0.28150000000000003,0.14250000000000002,0.005646494552344811,0.0219245787036119,False,False,False,False,True,False,2112,2051
slowly_drifting_rate,29,7800150,Warmup,500,2,0.2,0.001709975946676698,0.53075,0.28350000000000003,0.1395,0.0033997880357983564,0.021697039764373306,False,False,False,False,True,False,2124,2064
slowly_drifting_rate,30,8000150,Warmup,500,2,0.2,0.002091128734592475,0.52875,0.2885,0.1515,0.016876477541370984,0.022276447680493847,False,False,False,False,True,False,2116,2055
slowly_drifting_rate,31,8200150,Warmup,500,2,0.2,0.0013982963792914008,0.53125,0.2895,0.1485,0.013691176470588196,0.022076756493467863,False,False,False,False,True,False,2126,2061
slowly_drifting_rate,32,8400150,Warmup,500,2,0.2,0.002091128734592475,0.5427500000000001,0.3005,0.1665,0.010911906955320004,0.02258563597939108,False,False,False,False,True,False,2172,2106
slowly_drifting_rate,33,8600150,Warmup,500,2,0.2,0.001709975946676698,0.544,0.303,0.168,0.012985294117646982,0.022456448348125782,False,False,False,False,True,False,2177,2114
slowly_drifting_rate,34,8800150,Warmup,500,2,0.2,0.002091128734592475,0.54925,0.3055,0.168,0.0069630177514792896,0.022268298192570906,False,False,False,False,True,False,2198,2138
slowly_drifting_rate,35,9000150,Warmup,500,2,0.2,0.0007645870325492904,0.5525,0.2955,0.138,-0.01765837104072402,0.020421276344273823,False,False,False,False,True,False,2211,2160
slowly_drifting_rate,36,9200150,Warmup,500,2,0.2,0.0013982963792914008,0.543,0.28650000000000003,0.14100000000000001,-0.015375690607734797,0.021000647335790972,False,False,False,False,True,False,2173,2120
slowly_drifting_rate,37,9400150,Warmup,500,2,0.2,0.00027955874770974184,0.5427500000000001,0.299,0.156,0.008148203592814244,0.021544445893647776,False,False,False,False,True,False,2172,2116
slowly_drifting_rate,38,9600150,Warmup,500,2,0.2,0.00034187225351249784,0.5465,0.297,0.153,-0.0030416285452881543,0.021351511925130812,False,False,False,False,True,False,2187,2133
slowly_drifting_rate,39,9800150,Warmup,500,2,0.2,0.00034187225351249784,0.55,0.3055,0.162,0.005454545454545358,0.0214754712328597,False,False,False,False,True,False,2201,2147
